CVE,Severity,Year,Month,Patches,Affected Versions
CVE-2021-40020,High,2022,1,Huawei Patches,"EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0"
CVE-2021-40011,High,2022,1,Huawei Patches,"EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, EMUI 9.1.1, EMUI 9.1.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0, Magic UI 2.1.1"
CVE-2021-40009,Medium,2022,1,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.0, Magic UI 4.0.0"
CVE-2021-40038,Medium,2022,1,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.0, Magic UI 4.0.0"
CVE-2021-40037,Medium,2022,1,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0"
CVE-2021-40029,Medium,2022,1,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0"
CVE-2021-40035,Medium,2022,1,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0"
CVE-2021-40031,Medium,2022,1,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.0, Magic UI 4.0.0"
CVE-2021-40039,Medium,2022,1,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.0, Magic UI 4.0.0"
CVE-2021-40004,Medium,2022,1,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2021-39992,High,2022,2,Huawei Patches,EMUI12.0.0
CVE-2021-40015,Medium,2022,2,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0"
CVE-2021-39997,Critical,2022,2,Huawei Patches,EMUI12.0.0
CVE-2021-39994,Critical,2022,2,Huawei Patches,EMUI12.0.0
CVE-2021-40044,Medium,2022,2,Huawei Patches,"EMUI12.0.0,  EMUI 11.0.1,  EMUI 11.0.0,  EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 4.0.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
CVE-2021-39991,High,2022,2,Huawei Patches,EMUI12.0.0
CVE-2021-39986,High,2022,2,Huawei Patches,EMUI12.0.0
CVE-2021-37115,High,2022,2,Huawei Patches,EMUI12.0.0
CVE-2021-37109,High,2022,2,Huawei Patches,EMUI12.0.0
CVE-2021-40045,Critical,2022,2,Huawei Patches,"EMUI12.0.0,  EMUI 11.0.1,  EMUI 11.0.0,  Magic UI 4.0.0"
CVE-2021-37107,High,2022,2,Huawei Patches,EMUI12.0.0
CVE-2021-40054,High,2022,3,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0"
CVE-2021-40047,High,2022,3,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0"
CVE-2021-40053,Medium,2022,3,Huawei Patches,"EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0"
CVE-2021-40052,High,2022,3,Huawei Patches,"EMUI 11.0.1, EMUI 11.0.0, Magic UI 4.0.0"
CVE-2021-40051,Medium,2022,3,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2021-40050,High,2022,3,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2021-40049,Medium,2022,3,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2021-40048,High,2022,3,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0"
CVE-2021-40062,High,2022,3,Huawei Patches,"EMUI 10.1.1, EMUI 10.1.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2021-40055,Critical,2022,3,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0"
CVE-2021-40061,Medium,2022,3,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2021-40060,High,2022,3,Huawei Patches,"EMUI 10.1.1, EMUI 10.1.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2021-40059,Medium,2022,3,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2021-40058,High,2022,3,Huawei Patches,"EMUI 10.1.1, EMUI 10.1.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2021-40057,High,2022,3,Huawei Patches,"EMUI 10.1.1, EMUI 10.1.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2021-40056,High,2022,3,Huawei Patches,"EMUI 10.1.1, EMUI 10.1.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2021-40063,High,2022,3,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2021-40064,High,2022,3,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0"
CVE-2021-40011,High,2022,3,Huawei Patches,EMUI 12.0.0
CVE-2022-22258,Medium,2022,4,Huawei Patches,"EMUI 12.0.0,  EMUI 11.0.0,  EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 4.0.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
CVE-2022-22257,High,2022,4,Huawei Patches,"EMUI 12.0.0,  EMUI 11.0.1,  EMUI 11.0.0,  EMUI 10.1.1,  EMUI 10.1.0,  EMUI 10.0.0,  Magic UI 4.0.0,  Magic UI 3.1.1,  Magic UI 3.1.0,  Magic UI 3.0.0"
CVE-2022-22256,Medium,2022,4,Huawei Patches,"EMUI 12.0.0,  EMUI 11.0.1,  EMUI 11.0.0,  EMUI 10.1.1,  EMUI 10.1.0,  EMUI 10.0.0,  Magic UI 4.0.0,  Magic UI 3.1.1,  Magic UI 3.1.0,  Magic UI 3.0.0"
CVE-2022-22255,Medium,2022,4,Huawei Patches,EMUI 12.0.0
CVE-2022-22254,High,2022,4,Huawei Patches,"EMUI 12.0.0,  EMUI 11.0.1,  EMUI 11.0.0,  EMUI 10.1.1,  EMUI 10.1.0,  EMUI 10.0.0,  Magic UI 4.0.0,  Magic UI 3.1.1,  Magic UI 3.1.0,  Magic UI 3.0.0"
CVE-2022-22253,Medium,2022,4,Huawei Patches,"EMUI 12.0.0,  EMUI 11.0.1,  EMUI 11.0.0,  EMUI 10.1.1,  EMUI 10.1.0,  EMUI 10.0.0,  Magic UI 4.0.0,  Magic UI 3.1.1,  Magic UI 3.1.0,  Magic UI 3.0.0"
CVE-2022-22252,Critical,2022,4,Huawei Patches,"EMUI 12.0.0,  EMUI 11.0.1,  EMUI 11.0.0,  EMUI 10.1.1,  EMUI 10.1.0,  EMUI 10.0.0,  Magic UI 4.0.0,  Magic UI 3.1.1,  Magic UI 3.1.0,  Magic UI 3.0.0"
CVE-2021-46742,Medium,2022,4,Huawei Patches,"EMUI 12.0.0,  EMUI 11.0.1,  EMUI 11.0.0,  EMUI 10.1.1,  EMUI 10.1.0,  Magic UI 4.0.0,  Magic UI 3.1.1,  Magic UI 3.1.0"
CVE-2021-46740,Medium,2022,4,Huawei Patches,EMUI 12.0.0
CVE-2021-40065,High,2022,4,Huawei Patches,"EMUI 12.0.0,  EMUI 11.0.1,  EMUI 11.0.0,  Magic UI 4.0.0"
CVE-2021-46785,Medium,2022,5,Huawei Patches,EMUI 12.0.0
CVE-2021-46789,Medium,2022,5,Huawei Patches,EMUI 11.0.1
CVE-2021-46788,Medium,2022,5,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0"
CVE-2021-46787,High,2022,5,Huawei Patches,"EMUI 11.0.1, EMUI 12.0.0, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2021-46786,Medium,2022,5,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2021-40010,Critical,2022,5,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0"
CVE-2022-22258,Medium,2022,5,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, HMOS 2.0.0, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2022-29794,Medium,2022,5,Huawei Patches,EMUI 12.0.0
CVE-2022-22261,Medium,2022,5,Huawei Patches,EMUI 12.0.0
CVE-2022-29793,Medium,2022,5,Huawei Patches,EMUI 12.0.0
CVE-2022-29792,Medium,2022,5,Huawei Patches,EMUI 12.0.0
CVE-2022-29791,Medium,2022,5,Huawei Patches,EMUI 12.0.0
CVE-2022-29790,Medium,2022,5,Huawei Patches,EMUI 12.0.0
CVE-2022-29789,Medium,2022,5,Huawei Patches,EMUI 12.0.0
CVE-2022-29795,High,2022,5,Huawei Patches,EMUI 12.0.0
CVE-2022-29796,Medium,2022,5,Huawei Patches,EMUI 12.0.0
CVE-2022-22260,Medium,2022,5,Huawei Patches,EMUI 12.0.0
CVE-2021-46812,Medium,2022,6,Huawei Patches,EMUI 12.0.0
CVE-2021-46811,High,2022,6,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, EMUI 11.0.1, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2021-40021,Medium,2022,6,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, EMUI 11.0.1, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2021-40022,Critical,2022,6,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, EMUI 11.0.1, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2021-40014,High,2022,6,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, EMUI 11.0.1, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2021-40006,High,2022,6,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, EMUI 11.0.1, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2022-31751,Critical,2022,6,Huawei Patches,"EMUI 11.0.0, Magic UI 4.0.0"
CVE-2022-31757,Medium,2022,6,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, EMUI 11.0.1, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2022-31763,High,2022,6,Huawei Patches,EMUI 12.0.0
CVE-2022-31760,Medium,2022,6,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2022-31758,Medium,2022,6,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2021-46814,High,2022,6,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2022-31753,Medium,2022,6,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, EMUI 11.0.1, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2022-31754,Medium,2022,6,Huawei Patches,"EMUI 12.0.0, EMUI 10.1.0, Magic UI 3.1.0"
CVE-2021-46813,Critical,2022,6,Huawei Patches,"EMUI 11.0.0, Magic UI 4.0.0"
CVE-2021-46789,Medium,2022,6,Huawei Patches,"EMUI 10.0.0, EMUI 10.1.0, EMUI 10.1.1, EMUI 12.0.0, Magic UI 3.0.0, Magic UI 3.1.0, Magic UI 3.1.1"
CVE-2022-31761,High,2022,6,Huawei Patches,"EMUI 10.1.1, EMUI 11.0.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2022-29793,Medium,2022,6,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, Magic UI 3.1.0, Magic UI 3.1.1"
CVE-2022-31755,Medium,2022,6,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2022-31759,Medium,2022,6,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, EMUI 11.0.1, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2022-31762,Medium,2022,6,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2022-31752,Medium,2022,6,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, EMUI 11.0.1, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2022-31756,High,2022,6,Huawei Patches,"EMUI 10.0.0, EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, Magic UI 3.0.0, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2021-40016,Medium,2022,7,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2021-46741,Medium,2022,7,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2021-40012,Medium,2022,7,Huawei Patches,EMUI 12.0.0
CVE-2022-31751,Critical,2022,7,Huawei Patches,"EMUI 10.0.0, EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.1, EMUI 12.0.0, Magic UI 3.0.0, Magic UI 3.1.0, Magic UI 3.1.1"
CVE-2021-40013,Medium,2022,7,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2022-34737,Medium,2022,7,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 11.0.1, EMUI 12.0.0, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2022-31755,Medium,2022,7,Huawei Patches,EMUI 11.0.1
CVE-2022-34736,Medium,2022,7,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-34735,Medium,2022,7,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-34739,High,2022,7,Huawei Patches,"EMUI 10.0.0, EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, Magic UI 3.0.0, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2022-34742,High,2022,7,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 12.0.0, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2022-34740,Medium,2022,7,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, Magic UI 4.0.0"
CVE-2022-34741,Medium,2022,7,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, Magic UI 4.0.0"
CVE-2022-31762,Medium,2022,7,Huawei Patches,EMUI 11.0.1
CVE-2022-34743,Medium,2022,7,Huawei Patches,"EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 11.0.1, EMUI 12.0.0, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2022-34738,Medium,2022,7,Huawei Patches,"EMUI 10.0.0, EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, EMUI 11.0.1, EMUI 12.0.0, Magic UI 3.0.0, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2021-40040,Critical,2022,8,Huawei Patches,"EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0"
CVE-2021-40034,Critical,2022,8,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2021-40030,Medium,2022,8,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2021-40012,Medium,2022,8,Huawei Patches,"EMUI 11.0.0, Magic UI 4.0.0"
CVE-2022-37004,High,2022,8,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0"
CVE-2022-37005,Medium,2022,8,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, Magic UI 4.0.0, Magic UI 3.1.1"
CVE-2021-46741,Medium,2022,8,Huawei Patches,"EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0"
CVE-2022-37007,Medium,2022,8,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.0, Magic UI 4.0.0"
CVE-2022-37008,Medium,2022,8,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, Magic UI 4.0.0"
CVE-2022-37002,High,2022,8,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, EMUI 10.0.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0, Magic UI 3.0.0"
CVE-2022-34742,High,2022,8,Huawei Patches,EMUI 11.0.1
CVE-2022-37003,Medium,2022,8,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.0, Magic UI 4.0.0"
CVE-2022-37006,Medium,2022,8,Huawei Patches,EMUI 12.0.0
CVE-2021-40019,Medium,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2021-40023,Medium,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2021-40024,Medium,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2021-46836,Medium,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2022-38978,Medium,2022,9,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2022-38979,Medium,2022,9,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2022-38987,Critical,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2022-38988,Medium,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2022-38989,Medium,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2022-38990,Critical,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2022-38991,Medium,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2022-38992,Medium,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2022-38993,Critical,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2022-38994,Medium,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2022-38995,Medium,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2022-38996,Medium,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2022-38997,Medium,2022,9,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.0, EMUI 10.1.1, EMUI 10.1.0, Magic UI 4.0.0, Magic UI 3.1.1, Magic UI 3.1.0"
CVE-2022-38999,Medium,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2022-39000,High,2022,9,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, Magic UI 4.0.0"
CVE-2022-39001,High,2022,9,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, Magic UI 4.0.0"
CVE-2022-39002,High,2022,9,Huawei Patches,"EMUI 11.0.0, Magic UI 4.0.0"
CVE-2022-39003,Medium,2022,9,Huawei Patches,"EMUI 11.0.0, Magic UI 4.0.0"
CVE-2022-39004,High,2022,9,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, Magic UI 4.0.0"
CVE-2022-39005,Medium,2022,9,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, Magic UI 4.0.0"
CVE-2022-39006,Critical,2022,9,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1, EMUI 11.0.0, Magic UI 4.0.0"
CVE-2022-39007,High,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2022-39008,High,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2022-39009,Medium,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2022-39010,Medium,2022,9,Huawei Patches,EMUI 12.0.0
CVE-2020-36600,High,2022,9,Huawei Patches,"EMUI 10.0.0, EMUI 10.1.0, EMUI 10.1.1, EMUI 11.0.0, Magic UI 3.0.0, Magic UI 3.1.0, Magic UI 3.1.1, Magic UI 4.0.0"
CVE-2020-36601,Medium,2022,9,Huawei Patches,"EMUI 10.1.0, Magic UI 3.1.0"
CVE-2021-40017,Critical,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2021-46839,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2021-46840,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-38983,High,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-38984,Medium,2022,10,Huawei Patches,EMUI 12.0.0
CVE-2022-38985,Medium,2022,10,Huawei Patches,EMUI 12.0.0
CVE-2022-38986,Critical,2022,10,Huawei Patches,EMUI 12.0.0
CVE-2022-38998,Medium,2022,10,Huawei Patches,EMUI 12.0.0
CVE-2022-39011,Medium,2022,10,Huawei Patches,EMUI 12.0.0
CVE-2022-41576,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41577,Medium,2022,10,Huawei Patches,EMUI 12.0.0
CVE-2022-41578,High,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41580,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41581,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41582,High,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41583,Medium,2022,10,Huawei Patches,EMUI 12.0.0
CVE-2022-41584,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41585,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41586,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41587,Medium,2022,10,Huawei Patches,EMUI 11.0.1
CVE-2022-41588,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41589,High,2022,10,Huawei Patches,EMUI 12.0.0
CVE-2022-41592,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41593,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41594,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41595,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41597,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41598,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41600,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41601,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41602,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2022-41603,Medium,2022,10,Huawei Patches,"EMUI 12.0.0, EMUI 11.0.1"
CVE-2021-46851,High,2022,11,Huawei Patches,EMUI12.0.0
CVE-2021-46852,Medium,2022,11,Huawei Patches,EMUI12.0.0
