timestamp,device,period
2019-02-02,Galaxy S series (S9,monthly
2019-02-02,S9+,monthly
2019-02-02,S8,monthly
2019-02-02,S8+,monthly
2019-02-02,S8 Active,monthly
2019-02-02,S7,monthly
2019-02-02,S7 edge,monthly
2019-02-02,S7 Active),monthly
2019-02-02,Galaxy Note series (Note 9,monthly
2019-02-02,Note 8),monthly
2019-02-02,Galaxy A series (A5 (2016),monthly
2019-02-02,A5 (2017),monthly
2019-02-02,A8 (2018)),monthly
2019-02-02,Galaxy S series (S9,quarterly
2019-02-02,S9+,quarterly
2019-02-02,S8,quarterly
2019-02-02,S8+,quarterly
2019-02-02,S8 Active,quarterly
2019-02-02,S7,quarterly
2019-02-02,S7 edge,quarterly
2019-02-02,S7 Active),quarterly
2019-02-02,Galaxy Note series (Note 9,quarterly
2019-02-02,Note 8),quarterly
2019-02-02,Galaxy A series (A5 (2016),quarterly
2019-02-02,A5 (2017),quarterly
2019-02-02,A8 (2018)),quarterly
