keyword,cpe_vendor,cpe,cve
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g:-:*:*:*:*:*:*:*,CVE-2023-33021
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g:-:*:*:*:*:*:*:*,CVE-2023-28567
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g:-:*:*:*:*:*:*:*,CVE-2023-28565
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g:-:*:*:*:*:*:*:*,CVE-2023-28564
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g:-:*:*:*:*:*:*:*,CVE-2023-28562
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g:-:*:*:*:*:*:*:*,CVE-2023-28542
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g:-:*:*:*:*:*:*:*,CVE-2023-24854
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g:-:*:*:*:*:*:*:*,CVE-2023-24851
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g:-:*:*:*:*:*:*:*,CVE-2023-22667
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g:-:*:*:*:*:*:*:*,CVE-2023-22387
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g:-:*:*:*:*:*:*:*,CVE-2023-22386
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g:-:*:*:*:*:*:*:*,CVE-2023-21633
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g:-:*:*:*:*:*:*:*,CVE-2023-21631
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g:-:*:*:*:*:*:*:*,CVE-2023-21629
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23373
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23368
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21469
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21465
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21462
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21461
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43536
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43533
Snapdragon 750 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_750g_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43522
