model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-M305M,CHO,007505190626,SM-M305M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,M305MUBS8CWB1,Q(Android 10),2023-03-06,2023-02-01,Galaxy M30 ,https://doc.samsungmobile.com/SM-M305M/007505190626/eng.html
SM-M305M,CHO,007505190626,SM-M305M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,M305MUBU8CVI2,Q(Android 10),2022-10-10,2022-09-01,Galaxy M30 ,https://doc.samsungmobile.com/SM-M305M/007505190626/eng.html
SM-M305M,CHO,007505190626,SM-M305M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,M305MUBS8CVB2,Q(Android 10),2022-03-19,2022-03-01,Galaxy M30 ,https://doc.samsungmobile.com/SM-M305M/007505190626/eng.html
SM-M305M,CHO,007505190626,SM-M305M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,M305MUBU8CUI3,Q(Android 10),2021-10-25,2021-09-01,Galaxy M30 ,https://doc.samsungmobile.com/SM-M305M/007505190626/eng.html
SM-M305M,CHO,007505190626,SM-M305M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,M305MUBU8CUG4,Q(Android 10),2021-10-19,2021-07-01,Galaxy M30 ,https://doc.samsungmobile.com/SM-M305M/007505190626/eng.html
SM-M305M,CHO,007505190626,SM-M305M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,M305MUBS8CUC1,Q(Android 10),2021-03-31,2021-03-01,Galaxy M30 ,https://doc.samsungmobile.com/SM-M305M/007505190626/eng.html
SM-M305M,CHO,007505190626,SM-M305M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,M305MUBS7CTK1,Q(Android 10),2020-12-17,2020-12-01,Galaxy M30 ,https://doc.samsungmobile.com/SM-M305M/007505190626/eng.html
SM-M305M,CHO,007505190626,SM-M305M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,M305MUBU6CTI3,Q(Android 10),2020-10-10,2020-09-01,Galaxy M30 ,https://doc.samsungmobile.com/SM-M305M/007505190626/eng.html
SM-M305M,CHO,007505190626,SM-M305M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,M305MUBS5CTG4,Q(Android 10),2020-08-12,2020-07-01,Galaxy M30 ,https://doc.samsungmobile.com/SM-M305M/007505190626/eng.html
SM-M305M,CHO,007505190626,SM-M305M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,M305MUBU4CTC2,Q(Android 10),2020-03-14,2020-03-01,Galaxy M30 ,https://doc.samsungmobile.com/SM-M305M/007505190626/eng.html
SM-M305M,CHO,007505190626,SM-M305M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,M305MUBU3CSL7,Q(Android 10),2020-01-11,2019-12-01,Galaxy M30 ,https://doc.samsungmobile.com/SM-M305M/007505190626/eng.html
SM-M305M,CHO,007505190626,SM-M305M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,M305MUBS3BSK1,Pie(Android 9),2019-12-03,2019-11-01,Galaxy M30 ,https://doc.samsungmobile.com/SM-M305M/007505190626/eng.html
SM-M305M,CHO,007505190626,SM-M305M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,M305MUBU2BSH4,Pie(Android 9),2019-09-13,2019-09-01,Galaxy M30 ,https://doc.samsungmobile.com/SM-M305M/007505190626/eng.html
SM-M305M,CHO,007505190626,SM-M305M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,M305MUBU2BSH1,Pie(Android 9),2019-08-27,2019-08-01,Galaxy M30 ,https://doc.samsungmobile.com/SM-M305M/007505190626/eng.html
SM-M305M,CHO,007505190626,SM-M305M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,M305MUBU1BSF1,Pie(Android 9),2019-06-26,2019-05-01,Galaxy M30 ,https://doc.samsungmobile.com/SM-M305M/007505190626/eng.html
