model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-J260Y,NZC,002644181220,SM-J260Y/NZC, New Zealand,New Zealand,No-carrier,Oceania,Australia and New Zealand,J260YDXS2ASI2,Oreo(Android 8.1.0),2019-10-15,2019-09-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002644181220/eng.html
SM-J260Y,NZC,002644181220,SM-J260Y/NZC, New Zealand,New Zealand,No-carrier,Oceania,Australia and New Zealand,J260YDXU2ASG4,Oreo(Android 8.1.0),2019-09-16,2019-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002644181220/eng.html
SM-J260Y,NZC,002644181220,SM-J260Y/NZC, New Zealand,New Zealand,No-carrier,Oceania,Australia and New Zealand,J260YDXS1ASC2,Oreo(Android 8.1.0),2019-04-12,2019-03-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002644181220/eng.html
SM-J260Y,NZC,002644181220,SM-J260Y/NZC, New Zealand,New Zealand,No-carrier,Oceania,Australia and New Zealand,J260YDXU1ASA3,Oreo(Android 8.1.0),2019-03-20,2018-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002644181220/eng.html
SM-J260Y,NZC,002644181220,SM-J260Y/NZC, New Zealand,New Zealand,No-carrier,Oceania,Australia and New Zealand,J260YDXU1ARK2,Oreo(Android 8.1.0),2018-12-20,2018-10-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002644181220/eng.html
SM-J260Y,PNG,002667181221,SM-J260Y/PNG, Papua New Guinea,Papua New Guinea,No-carrier,Oceania,Melanesia,J260YDXS4AUH1,Oreo(Android 8.1.0),2021-09-12,2021-09-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002667181221/eng.html
SM-J260Y,PNG,002667181221,SM-J260Y/PNG, Papua New Guinea,Papua New Guinea,No-carrier,Oceania,Melanesia,J260YDXS4AUD4,Oreo(Android 8.1.0),2021-05-05,2021-03-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002667181221/eng.html
SM-J260Y,PNG,002667181221,SM-J260Y/PNG, Papua New Guinea,Papua New Guinea,No-carrier,Oceania,Melanesia,J260YDXS4ATL1,Oreo(Android 8.1.0),2021-01-08,2021-01-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002667181221/eng.html
SM-J260Y,PNG,002667181221,SM-J260Y/PNG, Papua New Guinea,Papua New Guinea,No-carrier,Oceania,Melanesia,J260YDXU3ATF1,Oreo(Android 8.1.0),2020-08-18,2020-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002667181221/eng.html
SM-J260Y,PNG,002667181221,SM-J260Y/PNG, Papua New Guinea,Papua New Guinea,No-carrier,Oceania,Melanesia,J260YDXS3ATE1,Oreo(Android 8.1.0),2020-05-22,2020-05-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002667181221/eng.html
SM-J260Y,PNG,002667181221,SM-J260Y/PNG, Papua New Guinea,Papua New Guinea,No-carrier,Oceania,Melanesia,J260YDXS3ATB4,Oreo(Android 8.1.0),2020-02-27,2020-02-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002667181221/eng.html
SM-J260Y,PNG,002667181221,SM-J260Y/PNG, Papua New Guinea,Papua New Guinea,No-carrier,Oceania,Melanesia,J260YDXU2ASJ3,Oreo(Android 8.1.0),2019-10-31,2019-09-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002667181221/eng.html
SM-J260Y,PNG,002667181221,SM-J260Y/PNG, Papua New Guinea,Papua New Guinea,No-carrier,Oceania,Melanesia,J260YDXS2ASI2,Oreo(Android 8.1.0),2019-10-15,2019-09-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002667181221/eng.html
SM-J260Y,PNG,002667181221,SM-J260Y/PNG, Papua New Guinea,Papua New Guinea,No-carrier,Oceania,Melanesia,J260YDXU2ASG4,Oreo(Android 8.1.0),2019-09-16,2019-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002667181221/eng.html
SM-J260Y,PNG,002667181221,SM-J260Y/PNG, Papua New Guinea,Papua New Guinea,No-carrier,Oceania,Melanesia,J260YDXS1ASC2,Oreo(Android 8.1.0),2019-04-12,2019-03-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002667181221/eng.html
SM-J260Y,PNG,002667181221,SM-J260Y/PNG, Papua New Guinea,Papua New Guinea,No-carrier,Oceania,Melanesia,J260YDXU1ASA3,Oreo(Android 8.1.0),2019-03-20,2018-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002667181221/eng.html
SM-J260Y,PNG,002667181221,SM-J260Y/PNG, Papua New Guinea,Papua New Guinea,No-carrier,Oceania,Melanesia,J260YDXU1ARL1,Oreo(Android 8.1.0),2018-12-21,2018-10-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002667181221/eng.html
SM-J260Y,SMA,001930181003,SM-J260Y/SMA, Philippines (Smart),Philippines,Smart,Asia,South-eastern Asia,J260YDXS4AUH1,Oreo(Android 8.1.0),2021-09-11,2021-09-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001930181003/eng.html
SM-J260Y,SMA,001930181003,SM-J260Y/SMA, Philippines (Smart),Philippines,Smart,Asia,South-eastern Asia,J260YDXS4AUD4,Oreo(Android 8.1.0),2021-05-05,2021-03-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001930181003/eng.html
SM-J260Y,SMA,001930181003,SM-J260Y/SMA, Philippines (Smart),Philippines,Smart,Asia,South-eastern Asia,J260YDXS4ATL1,Oreo(Android 8.1.0),2021-01-07,2021-01-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001930181003/eng.html
SM-J260Y,SMA,001930181003,SM-J260Y/SMA, Philippines (Smart),Philippines,Smart,Asia,South-eastern Asia,J260YDXU3ATF1,Oreo(Android 8.1.0),2020-08-05,2020-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001930181003/eng.html
SM-J260Y,SMA,001930181003,SM-J260Y/SMA, Philippines (Smart),Philippines,Smart,Asia,South-eastern Asia,J260YDXS3ATE2,Oreo(Android 8.1.0),2020-05-20,2020-05-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001930181003/eng.html
SM-J260Y,SMA,001930181003,SM-J260Y/SMA, Philippines (Smart),Philippines,Smart,Asia,South-eastern Asia,J260YDXS3ATB3,Oreo(Android 8.1.0),2020-02-25,2020-02-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001930181003/eng.html
SM-J260Y,SMA,001930181003,SM-J260Y/SMA, Philippines (Smart),Philippines,Smart,Asia,South-eastern Asia,J260YDXS2ASI2,Oreo(Android 8.1.0),2019-10-15,2019-09-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001930181003/eng.html
SM-J260Y,SMA,001930181003,SM-J260Y/SMA, Philippines (Smart),Philippines,Smart,Asia,South-eastern Asia,J260YDXU2ASG4,Oreo(Android 8.1.0),2019-08-19,2019-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001930181003/eng.html
SM-J260Y,SMA,001930181003,SM-J260Y/SMA, Philippines (Smart),Philippines,Smart,Asia,South-eastern Asia,J260YDXS1ASC2,Oreo(Android 8.1.0),2019-04-02,2019-03-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001930181003/eng.html
SM-J260Y,SMA,001930181003,SM-J260Y/SMA, Philippines (Smart),Philippines,Smart,Asia,South-eastern Asia,J260YDXU1ASA3,Oreo(Android 8.1.0),2019-03-12,2018-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001930181003/eng.html
SM-J260Y,SMA,001930181003,SM-J260Y/SMA, Philippines (Smart),Philippines,Smart,Asia,South-eastern Asia,J260YDXU1ARL1,Oreo(Android 8.1.0),2018-12-26,2018-10-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001930181003/eng.html
SM-J260Y,SMA,001930181003,SM-J260Y/SMA, Philippines (Smart),Philippines,Smart,Asia,South-eastern Asia,J260YDXU1ARK2,Oreo(Android 8.1.0),2018-11-28,2018-10-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001930181003/eng.html
SM-J260Y,SMA,001930181003,SM-J260Y/SMA, Philippines (Smart),Philippines,Smart,Asia,South-eastern Asia,J260YDXU1ARIA,Oreo(Android 8.1.0),2018-10-03,2018-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001930181003/eng.html
SM-J260Y,VFJ,002671181221,SM-J260Y/VFJ, Fiji (Vodafone),Fiji,Vodafone,Oceania,Melanesia,J260YDXS4AUH1,Oreo(Android 8.1.0),2021-09-12,2021-09-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002671181221/eng.html
SM-J260Y,VFJ,002671181221,SM-J260Y/VFJ, Fiji (Vodafone),Fiji,Vodafone,Oceania,Melanesia,J260YDXS4AUD4,Oreo(Android 8.1.0),2021-05-05,2021-03-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002671181221/eng.html
SM-J260Y,VFJ,002671181221,SM-J260Y/VFJ, Fiji (Vodafone),Fiji,Vodafone,Oceania,Melanesia,J260YDXS4ATL1,Oreo(Android 8.1.0),2021-01-08,2021-01-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002671181221/eng.html
SM-J260Y,VFJ,002671181221,SM-J260Y/VFJ, Fiji (Vodafone),Fiji,Vodafone,Oceania,Melanesia,J260YDXU3ATF1,Oreo(Android 8.1.0),2020-08-18,2020-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002671181221/eng.html
SM-J260Y,VFJ,002671181221,SM-J260Y/VFJ, Fiji (Vodafone),Fiji,Vodafone,Oceania,Melanesia,J260YDXS3ATE1,Oreo(Android 8.1.0),2020-05-22,2020-05-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002671181221/eng.html
SM-J260Y,VFJ,002671181221,SM-J260Y/VFJ, Fiji (Vodafone),Fiji,Vodafone,Oceania,Melanesia,J260YDXS3ATB4,Oreo(Android 8.1.0),2020-02-27,2020-02-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002671181221/eng.html
SM-J260Y,VFJ,002671181221,SM-J260Y/VFJ, Fiji (Vodafone),Fiji,Vodafone,Oceania,Melanesia,J260YDXU2ASJ3,Oreo(Android 8.1.0),2019-10-31,2019-09-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002671181221/eng.html
SM-J260Y,VFJ,002671181221,SM-J260Y/VFJ, Fiji (Vodafone),Fiji,Vodafone,Oceania,Melanesia,J260YDXS2ASI2,Oreo(Android 8.1.0),2019-10-15,2019-09-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002671181221/eng.html
SM-J260Y,VFJ,002671181221,SM-J260Y/VFJ, Fiji (Vodafone),Fiji,Vodafone,Oceania,Melanesia,J260YDXU2ASG4,Oreo(Android 8.1.0),2019-09-16,2019-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002671181221/eng.html
SM-J260Y,VFJ,002671181221,SM-J260Y/VFJ, Fiji (Vodafone),Fiji,Vodafone,Oceania,Melanesia,J260YDXS1ASC2,Oreo(Android 8.1.0),2019-04-12,2019-03-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002671181221/eng.html
SM-J260Y,VFJ,002671181221,SM-J260Y/VFJ, Fiji (Vodafone),Fiji,Vodafone,Oceania,Melanesia,J260YDXU1ASA3,Oreo(Android 8.1.0),2019-03-20,2018-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002671181221/eng.html
SM-J260Y,VFJ,002671181221,SM-J260Y/VFJ, Fiji (Vodafone),Fiji,Vodafone,Oceania,Melanesia,J260YDXU1ARL1,Oreo(Android 8.1.0),2018-12-21,2018-10-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/002671181221/eng.html
SM-J260Y,XTC,001929181003,SM-J260Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J260YDXS4AUH1,Oreo(Android 8.1.0),2021-09-11,2021-09-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001929181003/eng.html
SM-J260Y,XTC,001929181003,SM-J260Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J260YDXS4AUD4,Oreo(Android 8.1.0),2021-05-05,2021-03-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001929181003/eng.html
SM-J260Y,XTC,001929181003,SM-J260Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J260YDXS4ATL1,Oreo(Android 8.1.0),2021-01-07,2021-01-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001929181003/eng.html
SM-J260Y,XTC,001929181003,SM-J260Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J260YDXU3ATF1,Oreo(Android 8.1.0),2020-08-05,2020-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001929181003/eng.html
SM-J260Y,XTC,001929181003,SM-J260Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J260YDXS3ATE2,Oreo(Android 8.1.0),2020-05-20,2020-05-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001929181003/eng.html
SM-J260Y,XTC,001929181003,SM-J260Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J260YDXS3ATB3,Oreo(Android 8.1.0),2020-02-25,2020-02-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001929181003/eng.html
SM-J260Y,XTC,001929181003,SM-J260Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J260YDXS2ASI2,Oreo(Android 8.1.0),2019-10-15,2019-09-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001929181003/eng.html
SM-J260Y,XTC,001929181003,SM-J260Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J260YDXU2ASG4,Oreo(Android 8.1.0),2019-08-19,2019-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001929181003/eng.html
SM-J260Y,XTC,001929181003,SM-J260Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J260YDXS1ASC2,Oreo(Android 8.1.0),2019-04-02,2019-03-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001929181003/eng.html
SM-J260Y,XTC,001929181003,SM-J260Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J260YDXU1ASA3,Oreo(Android 8.1.0),2019-03-12,2018-12-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001929181003/eng.html
SM-J260Y,XTC,001929181003,SM-J260Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J260YDXU1ARK2,Oreo(Android 8.1.0),2018-11-28,2018-10-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001929181003/eng.html
SM-J260Y,XTC,001929181003,SM-J260Y/XTC, Philippines (Open Line),Philippines,Open Line,Asia,South-eastern Asia,J260YDXU1ARIA,Oreo(Android 8.1.0),2018-10-03,2018-07-01,Galaxy J2 Core ,https://doc.samsungmobile.com/SM-J260Y/001929181003/eng.html
