timestamp,device,series,period
2020-08-12,P40,HUAWEI P series,monthly
2020-08-12,P40 Pro,HUAWEI P series,monthly
2020-08-12,P40 Pro+,HUAWEI P series,monthly
2020-08-12,P30 Pro,HUAWEI P series,monthly
2020-08-12,P30,HUAWEI P series,monthly
2020-08-12,Mate 30,HUAWEI Mate series,monthly
2020-08-12,Mate 30 pro,HUAWEI Mate series,monthly
2020-08-12,Mate 20 X,HUAWEI Mate series,monthly
2020-08-12,Mate 20 Pro,HUAWEI Mate series,monthly
2020-08-12,Mate 20,HUAWEI Mate series,monthly
2020-08-12,Mate 20 RS,HUAWEI Mate series,monthly
2020-08-12,Mate Xs,HUAWEI Mate series,monthly
2020-08-12,Honor 30,HONOR series,monthly
2020-08-12,Honor 30 Pro,HONOR series,monthly
2020-08-12,Honor View30,HONOR series,monthly
2020-08-12,HONOR 20,HONOR series,monthly
2020-08-12,HONOR 20 PRO,HONOR series,monthly
2020-08-12,Honor View20,HONOR series,monthly
2020-08-12,Honor 10 lite,HONOR series,monthly
2020-08-12,P40 lite,HUAWEI P series,quarterly
2020-08-12,P smart Z,HUAWEI P series,quarterly
2020-08-12,P30 lite,HUAWEI P series,quarterly
2020-08-12,P20 lite,HUAWEI P series,quarterly
2020-08-12,P Smart 2019,HUAWEI P series,quarterly
2020-08-12,P9 lite mini,HUAWEI P series,quarterly
2020-08-12,P smart Pro,HUAWEI P series,quarterly
2020-08-12,Mate 20 Lite,HUAWEI Mate series,quarterly
2020-08-12,Mate 10 Lite,HUAWEI Mate series,quarterly
2020-08-12,Y9 Prime 2019,HUAWEI Y series,quarterly
2020-08-12,Y9 2019,HUAWEI Y series,quarterly
2020-08-12,Y7 2019,HUAWEI Y series,quarterly
2020-08-12,Y6 2019,HUAWEI Y series,quarterly
2020-08-12,Y6 Pro 2019,HUAWEI Y series,quarterly
2020-08-12,Y5 2019,HUAWEI Y series,quarterly
2020-08-12,Y MAX,HUAWEI Y series,quarterly
2020-08-12,HUAWEI Y9s,HUAWEI Y series,quarterly
2020-08-12,HUAWEI Y6s,HUAWEI Y series,quarterly
2020-08-12,HUAWEI Y8s,HUAWEI Y series,quarterly
2020-08-12,HUAWEI Y8P,HUAWEI Y series,quarterly
2020-08-12,HUAWEI Y7P,HUAWEI Y series,quarterly
2020-08-12,HUAWEI Y6P,HUAWEI Y series,quarterly
2020-08-12,HUAWEI Y5P,HUAWEI Y series,quarterly
2020-08-12,Honor 30S,HONOR series,quarterly
2020-08-12,Honor 20S,HONOR series,quarterly
2020-08-12,Honor 20i,HONOR series,quarterly
2020-08-12,Honor 10i,HONOR series,quarterly
2020-08-12,Honor 10 Lite,HONOR series,quarterly
2020-08-12,Honor 9X,HONOR series,quarterly
2020-08-12,Honor 9X Pro,HONOR series,quarterly
2020-08-12,Honor 9 Lite,HONOR series,quarterly
2020-08-12,Honor 9i,HONOR series,quarterly
2020-08-12,Honor Play,HONOR series,quarterly
2020-08-12,Honor 8A,HONOR series,quarterly
2020-08-12,Honor 8X,HONOR series,quarterly
2020-08-12,Honor 8S,HONOR series,quarterly
2020-08-12,Honor 8C,HONOR series,quarterly
2020-08-12,Honor 7S,HONOR series,quarterly
2020-08-12,Honor 9A,HONOR series,quarterly
2020-08-12,Honor 9S,HONOR series,quarterly
2020-08-12,nova 7,HUAWEI nova series,quarterly
2020-08-12,nova 7i,HUAWEI nova series,quarterly
2020-08-12,nova 7 SE,HUAWEI nova series,quarterly
2020-08-12,nova 5T,HUAWEI nova series,quarterly
2020-08-12,nova 4,HUAWEI nova series,quarterly
2020-08-12,nova 3,HUAWEI nova series,quarterly
2020-08-12,nova Lite 3,HUAWEI nova series,quarterly
2020-08-12,nova 3i,HUAWEI nova series,quarterly
2020-08-12,"M6(8.4"" & 10.8"")",Tablets,quarterly
2020-08-12,"M5 (8.4"" & 10.8"")",Tablets,quarterly
2020-08-12,M5 Pro,Tablets,quarterly
2020-08-12,"T5 (10.1"")",Tablets,quarterly
2020-08-12,"M5 lite (10.1"" & 8.0"")",Tablets,quarterly
