timestamp,device,series,period
2020-06-04,P30 Pro,HUAWEI P series,monthly
2020-06-04,P30,HUAWEI P series,monthly
2020-06-04,Mate 30,HUAWEI Mate series,monthly
2020-06-04,Mate 30 pro,HUAWEI Mate series,monthly
2020-06-04,Mate 20 X,HUAWEI Mate series,monthly
2020-06-04,Mate 20 Pro,HUAWEI Mate series,monthly
2020-06-04,Mate 20,HUAWEI Mate series,monthly
2020-06-04,Mate 20 RS,HUAWEI Mate series,monthly
2020-06-04,HONOR 20,HONOR series,monthly
2020-06-04,HONOR 20 PRO,HONOR series,monthly
2020-06-04,Honor View20,HONOR series,monthly
2020-06-04,Honor 10,HONOR series,monthly
2020-06-04,Honor 10 lite,HONOR series,monthly
2020-06-04,P30 lite,HUAWEI P series,quarterly
2020-06-04,P20 lite,HUAWEI P series,quarterly
2020-06-04,P Smart 2019,HUAWEI P series,quarterly
2020-06-04,P9 lite mini,HUAWEI P series,quarterly
2020-06-04,P smart Pro,HUAWEI P series,quarterly
2020-06-04,Mate 20 Lite,HUAWEI Mate series,quarterly
2020-06-04,Mate 10 Lite,HUAWEI Mate series,quarterly
2020-06-04,Y9 Prime 2019,HUAWEI Y series,quarterly
2020-06-04,Y9 2019,HUAWEI Y series,quarterly
2020-06-04,Y9 2018,HUAWEI Y series,quarterly
2020-06-04,Y6 2019,HUAWEI Y series,quarterly
2020-06-04,Y6 Pro 2019,HUAWEI Y series,quarterly
2020-06-04,Y6 2018,HUAWEI Y series,quarterly
2020-06-04,Y5 2019,HUAWEI Y series,quarterly
2020-06-04,Y5 2018,HUAWEI Y series,quarterly
2020-06-04,Y5 Prime 2018,HUAWEI Y series,quarterly
2020-06-04,Y5 Lite,HUAWEI Y series,quarterly
2020-06-04,Y5 Lite 2018,HUAWEI Y series,quarterly
2020-06-04,Y3 2018,HUAWEI Y series,quarterly
2020-06-04,Y MAX,HUAWEI Y series,quarterly
2020-06-04,HUAWEI Y9s,HUAWEI Y series,quarterly
2020-06-04,HUAWEI Y6s,HUAWEI Y series,quarterly
2020-06-04,Honor 20i,HONOR series,quarterly
2020-06-04,Honor 10i,HONOR series,quarterly
2020-06-04,Honor 10 Lite,HONOR series,quarterly
2020-06-04,Honor 9 Lite,HONOR series,quarterly
2020-06-04,Honor 9i,HONOR series,quarterly
2020-06-04,Honor Play,HONOR series,quarterly
2020-06-04,Honor 8A,HONOR series,quarterly
2020-06-04,Honor 8X,HONOR series,quarterly
2020-06-04,Honor 8S,HONOR series,quarterly
2020-06-04,Honor 8C,HONOR series,quarterly
2020-06-04,Honor 9X,HONOR series,quarterly
2020-06-04,Honor 7S,HONOR series,quarterly
2020-06-04,Honor 7A,HONOR series,quarterly
2020-06-04,nova 5T,HUAWEI nova series,quarterly
2020-06-04,nova 4,HUAWEI nova series,quarterly
2020-06-04,nova 3,HUAWEI nova series,quarterly
2020-06-04,nova 3e,HUAWEI nova series,quarterly
2020-06-04,nova Lite 3,HUAWEI nova series,quarterly
2020-06-04,nova 3i,HUAWEI nova series,quarterly
2020-06-04,"M5 (8.4"" & 10.8"")",Tablets,quarterly
2020-06-04,M5 Pro,Tablets,quarterly
2020-06-04,"T5 (10.1"")",Tablets,quarterly
2020-06-04,"M5 lite (10.1"" & 8.0"")",Tablets,quarterly
