timestamp,device,series,period
2021-05-30,HUAWEI Mate 40 Pro,HUAWEI Mate series,monthly
2021-05-30,HUAWEI Mate 30,HUAWEI Mate series,monthly
2021-05-30,HUAWEI Mate 30 Pro,HUAWEI Mate series,monthly
2021-05-30,HUAWEI Mate 30 Pro 5G,HUAWEI Mate series,monthly
2021-05-30,HUAWEI Mate 20 X (5G),HUAWEI Mate series,monthly
2021-05-30,HUAWEI Mate 20 Pro,HUAWEI Mate series,monthly
2021-05-30,HUAWEI Mate Xs,HUAWEI Mate series,monthly
2021-05-30,HUAWEI P40,HUAWEI P series,monthly
2021-05-30,HUAWEI P40 Pro,HUAWEI P series,monthly
2021-05-30,HUAWEI P40 Pro+,HUAWEI P series,monthly
2021-05-30,HUAWEI P30,HUAWEI P series,monthly
2021-05-30,HUAWEI P30 lite New Edition,HUAWEI P series,monthly
2021-05-30,HUAWEI P30 Pro,HUAWEI P series,monthly
2021-05-30,HONOR 20,HONOR series,monthly
2021-05-30,HONOR 20 Pro,HONOR series,monthly
2021-05-30,HONOR View 20,HONOR series,monthly
2021-05-30,HUAWEI P40 lite,HUAWEI P series,quarterly
2021-05-30,HUAWEI P40 lite 5G,HUAWEI P series,quarterly
2021-05-30,HUAWEI P40 lite E,HUAWEI P series,quarterly
2021-05-30,HUAWEI P30 lite,HUAWEI P series,quarterly
2021-05-30,HUAWEI P smart 2021,HUAWEI P series,quarterly
2021-05-30,HUAWEI P smart 2020,HUAWEI P series,quarterly
2021-05-30,HUAWEI P smart 2019,HUAWEI P series,quarterly
2021-05-30,HUAWEI P smart S,HUAWEI P series,quarterly
2021-05-30,HUWEI P smart Pro,HUAWEI P series,quarterly
2021-05-30,HUAWEI nova 7 5G,HUAWEI nova series,quarterly
2021-05-30,HUAWEI nova 7 SE 5G,HUAWEI nova series,quarterly
2021-05-30,HUAWEI nova 7i,HUAWEI nova series,quarterly
2021-05-30,HUAWEI nova 5T,HUAWEI nova series,quarterly
2021-05-30,HUAWEI nova lite 3+,HUAWEI nova series,quarterly
2021-05-30, HUAWEI Y5p,HUAWEI Y series,quarterly
2021-05-30,HUAWEI Y6p,HUAWEI Y series,quarterly
2021-05-30,HUAWEI Y6s,HUAWEI Y series,quarterly
2021-05-30,HUAWEI Y6 2019,HUAWEI Y series,quarterly
2021-05-30,HUAWEI Y6 Pro 2019,HUAWEI Y series,quarterly
2021-05-30,HUAWEI Y7a,HUAWEI Y series,quarterly
2021-05-30,HUAWEI Y7p,HUAWEI Y series,quarterly
2021-05-30,HUAWEI Y8p,HUAWEI Y series,quarterly
2021-05-30,HUAWEI Y8s,HUAWEI Y series,quarterly
2021-05-30,HUAWEI Y9 Prime 2019,HUAWEI Y series,quarterly
2021-05-30,HUAWEI Y9a,HUAWEI Y series,quarterly
2021-05-30,HUAWEI Y9s,HUAWEI Y series,quarterly
2021-05-30,HONOR 30,HONOR series,quarterly
2021-05-30,HONOR 30 Pro+,HONOR series,quarterly
2021-05-30,HONOR 30i,HONOR series,quarterly
2021-05-30,HONOR 30S,HONOR series,quarterly
2021-05-30,HONOR View 30 Pro,HONOR series,quarterly
2021-05-30,HONOR 20e,HONOR series,quarterly
2021-05-30,HONOR 20i,HONOR series,quarterly
2021-05-30,HONOR 20S,HONOR series,quarterly
2021-05-30,HONOR 20 lite,HONOR series,quarterly
2021-05-30,HONOR 10i,HONOR series,quarterly
2021-05-30,HONOR 9A,HONOR series,quarterly
2021-05-30,HONOR 9C,HONOR series,quarterly
2021-05-30,HONOR 9S,HONOR series,quarterly
2021-05-30,HONOR 9X,HONOR series,quarterly
2021-05-30,HONOR 10X,HONOR series,quarterly
2021-05-30,HONOR 9X lite,HONOR series,quarterly
2021-05-30,HONOR 10X lite,HONOR series,quarterly
2021-05-30,HONOR 9X Pro,HONOR series,quarterly
2021-05-30,HONOR 8A,HONOR series,quarterly
2021-05-30,HONOR 8S,HONOR series,quarterly
2021-05-30,HONOR 8A Pro,HONOR series,quarterly
2021-05-30,HUAWEI MediaPad M5 lite 8,Tablets,quarterly
2021-05-30,HUAWEI MatePad Pro,Tablets,quarterly
2021-05-30,HUAWEI MediaPad M6,Tablets,quarterly
2021-05-30,HUAWEI MatePad,Tablets,quarterly
2021-05-30,HUAWEI MatePad T,Tablets,quarterly
2021-05-30,HUAWEI MatePad T 10s,Tablets,quarterly
2021-05-30,HUAWEI MatePad T 10,Tablets,quarterly
2021-05-30,HONOR Pad V6,Tablets,quarterly
